Year,Type of economic activity,Region,Value
2016,,,
2016,A01,,
2016,A02,,
2016,A03,,
2016,A05,,
2016,A06,,
2016,A07,,
2016,A08,,
2016,A08_1,,
2016,A08_2,,
2016,A09,,
2016,A10,,
2016,A10_1,,
2016,A12,,
2016,A13,,
2016,A14,,
2016,A15,,
2016,A16,,
2016,A17,,
2016,A19,,
2016,A20,,
2016,A21,,
2016,A22,,
2016,A23,,
2016,A24,,
2016,A25,,
2016,A26,,
2016,A27,,
2016,A28,,
2016,A29,,
2016,A30,,
2016,A31,,
2016,A32,,
2016,A33,,
2016,A34,,
2016,A35,,
2016,A36,,
2016,A38,,
2016,A44,,
2016,A45,,
2016,A49,,
2016,A51,,
2016,A52,,
2016,A53,,
2016,A54,,
2016,A55,,
2016,A56,,
2016,A57,,
2016,A58,,
2016,A59,,
2016,A60,,
2016,A61,,
2016,A62,,
2016,A63,,
2016,A65,,
2016,A66,,
2016,A67,,
2016,A68,,
2016,A69,,
2016,A70,,
2016,A71,,
2016,A72,,
2016,A73,,
2016,A74,,
2016,A75,,
2016,A76,,
2016,A78,,
2016,A79,,
2016,A80,,
2016,A81,,
2016,A83,,
2016,A84,,
2016,A85,,
2016,A86,,
2016,A87,,
2016,A88,,
2016,A89,,
2016,A90,,
2016,A91,,
2016,A92,,
2016,A93,,
2016,A94,,
2016,A95,,
2016,A96,,
2016,A97,,
2016,A98,,
2016,A99,,
2016,A100,,
2016,A101,,
2016,A102,,
2016,A103,,
2016,A104,,
2016,A105,,
2016,A106,,
2016,A107,,
2016,A109,,
2016,A110,,
2016,A111,,
2016,A112,,
2016,A113,,
2016,A114,,
2016,A115,,
2016,A116,,
2016,A117,,
2016,A118,,
2016,A119,,
2016,A120,,
2016,A121,,
2016,A122,,
2016,A123,,
2016,A124,,
2016,A125,,
2016,A126,,
2016,A127,,
2016,A128,,
2016,A129,,
2016,A130,,
2016,A131,,
2016,A132,,
2016,A133,,
2016,A134,,
2016,A135,,
2016,A136,,
2016,A137,,
2016,A138,,
2016,A139,,
2016,A140,,
2016,A141,,
2016,A142,,
2016,A143,,
2016,A144,,
2016,A145,,
2016,A146,,
2016,A147,,
2016,A148,,
2016,A149,,
2016,A150,,
2016,A151,,
2016,A152,,
2016,A153,,
2016,A154,,
2016,A155,,
2016,A156,,
2016,A157,,
2016,A158,,
2016,A159,,
2016,A160,,
2016,A162,,
2016,A163,,
