Year,Category,Sector,Value
2015,,,
2016,,,
2017,,,
2018,,,43
2018,,electric energy,41
2018,,natural gas,52
2018,,oil and liquid fuels,31
2018,,thermal energy,47
2018,authorities,,36
2018,balances,,50
2018,consumption,,47
2018,natural monopolies,,43
2018,policy,,20
2018,reliability and safety,,47
2018,reporting,,53
2018,supply,,38
2019,,,48
2019,,electric energy,49
2019,,natural gas,54
2019,,oil and liquid fuels,27
2019,,thermal coal,48
2019,,thermal energy,48
2019,authorities,,50
2019,balances,,58
2019,consumption,,53
2019,natural monopolies,,46
2019,policy,,56
2019,reliability and safety,,50
2019,reporting,,27
2019,supply,,49
2020,,,58
2020,,electric energy,66
2020,,natural gas,64
2020,,oil and liquid fuels,22
2020,,thermal coal,48
2020,,thermal energy,74
2020,authorities,,56
2020,balances,,58
2020,consumption,,68
2020,natural monopolies,,59
2020,policy,,59
2020,reliability and safety,,53
2020,reporting,,35
2020,supply,,58
2021,,,63
2021,,electric energy,73
2021,,natural gas,72
2021,,oil and liquid fuels,23
2021,,thermal coal,60
2021,,thermal energy,69
2021,authorities,,57
2021,balances,,58
2021,consumption,,70
2021,natural monopolies,,70
2021,policy,,54
2021,reliability and safety,,54
2021,reporting,,53
2021,supply,,63
2022,,,39
2022,,electric energy,41
2022,,natural gas,47
2022,,oil and liquid fuels,14
2022,,thermal coal,26
2022,,thermal energy,43
2022,authorities,,32
2022,balances,,21
2022,consumption,,49
2022,natural monopolies,,44
2022,policy,,44
2022,reliability and safety,,25
2022,reporting,,33
2022,supply,,37
2023,,,41
2023,,electric energy,37
2023,,natural gas,48
2023,,oil and liquid fuels,14
2023,,thermal coal,25
2023,,thermal energy,42
2023,authorities,,50
2023,balances,,17
2023,consumption,,49
2023,natural monopolies,,39
2023,policy,,43
2023,reliability and safety,,25
2023,reporting,,30
2023,supply,,43
2024,,,44
2024,,electric energy,40
2024,,natural gas,54
2024,,oil and liquid fuels,19
2024,,thermal coal,25
2024,,thermal energy,43
2024,authorities,,55
2024,balances,,16
2024,consumption,,55
2024,natural monopolies,,42
2024,policy,,51
2024,reliability and safety,,37
2024,reporting,,18
2024,supply,,46
